#SrNo.,#CustomerName,#State,#TaxRate,#ProductType,#Area,#CostPerSquareFoot,#LaborCostPerSquareFoot,#MaterialCost,#LaborCost,#Tax,#Total,#OrderDate
1,kelab,IL,5.35,Carpet,900,2.25,2.10,1890.00,1890.00,202.230000,3982.230000,02-03-2066
2,rtgtgt,MN,3.35,Wood,900,5.15,4.75,4275.00,4275.00,286.425000,8836.425000,02-03-2066
3,gigi,MN,3.35,Wood,900,5.15,4.75,4275.00,4275.00,286.425000,8836.425000,02-03-2066
4,nmdjcde,MN,3.35,Wood,600,5.15,4.75,1092.50,1092.50,73.197500,2258.197500,02-03-2066
5,mile,MN,3.35,Wood,200,5.15,4.75,950.00,950.00,63.650000,1963.650000,02-06-2003
6,rusha,TX,4.45,Tile,500,3.50,4.15,2075.00,2075.00,184.675000,4334.67500023,02-06-2003
7,hima,MN,3.35,Wood,200,5.15,4.75,950.00,950.00,63.650000,1963.650000,02-06-2003
8,mosh,IL,5.35,Wood,500,5.15,4.75,2375.00,2375.00,254.125000,5004.125000,02-06-2003
9,scoy,CA,25.00,Laminate,430,1.75,2.10,903.00,903.00,451.5000,2257.5000,02-06-2003
10,nimi,CA,25.00,Wood,100,5.15,4.75,475.00,475.00,237.5000,1187.5000,02-06-2003
11,dawn,MN,3.35,Tile,200,3.50,4.15,830.00,830.00,55.610000,1715.610000,02-06-2006
12,rush,IL,5.35,Carpet,300,2.25,2.10,630.00,630.00,67.410000,1327.410000,02-07-2003
13,peter,IL,5.35,Tile,200,3.50,4.15,830.00,830.00,88.810000,1748.810000,02-07-2003
14,mike,IL,5.35,Wood,600,5.15,4.75,2850.00,2850.00,304.950000,6004.950000,02-07-2003
15,goofy,CA,25.00,Wood,500,5.15,4.75,2375.00,2375.00,1187.5000,5937.5000,02-07-2003
16,nick,MN,3.35,Wood,230,5.15,4.75,1092.50,1092.50,73.197500,2258.197500,02-08-2003
17,sam,MN,3.35,Wood,200,5.15,4.75,950.00,950.00,63.650000,1963.650000,02-08-2003
18,bob,MN,3.35,Tile,200,3.50,4.15,830.00,830.00,55.610000,1715.610000,02-08-2003
19,vin,CA,25.00,Laminate,600,1.75,2.10,1260.00,1260.00,630.0000,3150.0000,02-08-2003
20,lush,IL,5.35,Wood,600,5.15,4.75,2850.00,2850.00,304.950000,6004.950000,02-08-2003
21,test abcd,MN,3.35,Wood,150,5.15,4.75,978.50,978.50,65.559500,2022.559500,02-09-2022
22,rtgtgt,MN,3.35,Wood,900,5.15,4.75,4275.00,4275.00,286.425000,8836.425000,02-09-2022
23,gigi,MN,3.35,laminate,1000,5.15,4.75,4275.00,4275.00,286.425000,8836.425000,02-09-2022
24,kkll,IL,5.35,Carpet,1900,2.25,2.10,1890.00,1890.00,202.230000,3982.230000,02-09-2022
25,new customer,MN,3.35,Laminate,500,1.75,2.10,1050.00,1050.00,70.350000,2170.350000,02-26-2300
26,yumi,MN,3.35,Wood,300,5.15,4.75,1425.00,1425.00,95.475000,2945.475000,03-02-2010
27,greg,IL,5.35,Laminate,500,1.75,2.10,1050.00,1050.00,112.350000,2212.350000,03-02-2010
28,britta,MN,3.35,Wood,650,5.15,4.75,3087.50,3087.50,206.862500,6381.862500,03-02-2010
29,mishra,MN,3.35,Laminate,500,1.75,2.10,2100.00,2100.00,140.700000,4340.700000,07-28-2021
30,nick,MN,3.35,Wood,560,5.15,4.75,2660.00,2660.00,178.220000,5498.220000,09-23-2021
31,nimi,CA,25.00,Tile,450,3.50,4.15,1867.50,1867.50,933.7500,4668.7500,09-23-2021
32,ella,CA,25.00,Tile,560,3.50,4.15,2324.00,2324.00,1162.0000,5810.0000,09-23-2021
33,brynn,MN,3.35,Tile,450,3.50,4.15,1867.50,1867.50,125.122500,3860.122500,09-23-2021
34,henna,CA,25.00,Tile,560,3.50,4.15,2324.00,2324.00,1162.0000,5810.0000,09-23-2021
35,nim,MN,3.35,Tile,200,3.50,4.15,830.00,830.00,55.610000,1715.610000,09-23-2021
36,jill,MN,3.35,Wood,1000,5.15,4.75,4750.00,4750.00,318.250000,9818.250000,12-06-2022
37,kim,CA,25.00,Wood,1000,5.15,4.75,4750.00,4750.00,2375.0000,11875.0000,12-12-2022
38,hillery,ND,5.00,Wood,5000,5.15,4.75,23750.00,23750.00,2375.0000,49875.0000,12-12-2022
39,dgvdfv,CA,25.00,Wood,500,5.15,4.75,2375.00,2375.00,1187.5000,5937.5000,12-21-2089
40,wwww,MN,3.35,Laminate,155,1.75,2.10,325.50,325.50,21.808500,672.808500,12-21-2089
41,moni,CA,25.00,Wood,200,5.15,4.75,950.00,950.00,475.0000,2375.0000,12-29-2021
42,jo,CA,25.00,Laminate,560,1.75,2.10,1176.00,1176.00,588.0000,2940.0000,12-31-2021
43,uber,ca,3.35,Tile,10000,3.50,4.15,20750.00,20750.00,1390.250000,42890.250000,12-31-2089
